2NE1_zh.wikipedia.org_all-access_spider,date_idx
18,7/1/2015
11,7/2/2015
5,7/3/2015
13,7/4/2015
14,7/5/2015
9,7/6/2015
9,7/7/2015
22,7/8/2015
26,7/9/2015
24,7/10/2015
19,7/11/2015
10,7/12/2015
14,7/13/2015
15,7/14/2015
8,7/15/2015
16,7/16/2015
8,7/17/2015
8,7/18/2015
16,7/19/2015
7,7/20/2015
11,7/21/2015
10,7/22/2015
20,7/23/2015
18,7/24/2015
15,7/25/2015
14,7/26/2015
49,7/27/2015
10,7/28/2015
16,7/29/2015
18,7/30/2015
8,7/31/2015
5,8/1/2015
9,8/2/2015
7,8/3/2015
13,8/4/2015
9,8/5/2015
7,8/6/2015
4,8/7/2015
11,8/8/2015
10,8/9/2015
5,8/10/2015
9,8/11/2015
9,8/12/2015
9,8/13/2015
9,8/14/2015
13,8/15/2015
4,8/16/2015
15,8/17/2015
25,8/18/2015
9,8/19/2015
5,8/20/2015
6,8/21/2015
20,8/22/2015
3,8/23/2015
14,8/24/2015
46,8/25/2015
5,8/26/2015
5,8/27/2015
13,8/28/2015
4,8/29/2015
9,8/30/2015
10,8/31/2015
9,9/1/2015
11,9/2/2015
11,9/3/2015
11,9/4/2015
9,9/5/2015
15,9/6/2015
5,9/7/2015
10,9/8/2015
7,9/9/2015
4,9/10/2015
8,9/11/2015
9,9/12/2015
10,9/13/2015
6,9/14/2015
13,9/15/2015
16,9/16/2015
6,9/17/2015
24,9/18/2015
9,9/19/2015
11,9/20/2015
12,9/21/2015
8,9/22/2015
14,9/23/2015
6,9/24/2015
6,9/25/2015
11,9/26/2015
14,9/27/2015
6,9/28/2015
10,9/29/2015
20,9/30/2015
7,10/1/2015
15,10/2/2015
8,10/3/2015
15,10/4/2015
5,10/5/2015
8,10/6/2015
8,10/7/2015
5,10/8/2015
11,10/9/2015
165,10/10/2015
34,10/11/2015
6,10/12/2015
13,10/13/2015
8,10/14/2015
9,10/15/2015
11,10/16/2015
26,10/17/2015
18,10/18/2015
3,10/19/2015
5,10/20/2015
12,10/21/2015
6,10/22/2015
16,10/23/2015
19,10/24/2015
9,10/25/2015
10,10/26/2015
11,10/27/2015
11,10/28/2015
7,10/29/2015
9,10/30/2015
10,10/31/2015
24,11/1/2015
6,11/2/2015
6,11/3/2015
8,11/4/2015
16,11/5/2015
13,11/6/2015
10,11/7/2015
10,11/8/2015
6,11/9/2015
5,11/10/2015
20,11/11/2015
6,11/12/2015
47,11/13/2015
9,11/14/2015
9,11/15/2015
12,11/16/2015
11,11/17/2015
17,11/18/2015
15,11/19/2015
14,11/20/2015
11,11/21/2015
97,11/22/2015
11,11/23/2015
12,11/24/2015
11,11/25/2015
14,11/26/2015
15,11/27/2015
12,11/28/2015
104,11/29/2015
5,11/30/2015
22,12/1/2015
45,12/2/2015
75,12/3/2015
29,12/4/2015
34,12/5/2015
20,12/6/2015
12,12/7/2015
25,12/8/2015
9,12/9/2015
62,12/10/2015
20,12/11/2015
19,12/12/2015
8,12/13/2015
23,12/14/2015
13,12/15/2015
16,12/16/2015
34,12/17/2015
36,12/18/2015
11,12/19/2015
18,12/20/2015
12,12/21/2015
24,12/22/2015
30,12/23/2015
27,12/24/2015
44,12/25/2015
35,12/26/2015
53,12/27/2015
11,12/28/2015
26,12/29/2015
13,12/30/2015
18,12/31/2015
9,1/1/2016
16,1/2/2016
6,1/3/2016
19,1/4/2016
20,1/5/2016
19,1/6/2016
22,1/7/2016
30,1/8/2016
14,1/9/2016
16,1/10/2016
22,1/11/2016
15,1/12/2016
15,1/13/2016
26,1/14/2016
16,1/15/2016
13,1/16/2016
27,1/17/2016
18,1/18/2016
13,1/19/2016
32,1/20/2016
31,1/21/2016
16,1/22/2016
38,1/23/2016
18,1/24/2016
9,1/25/2016
14,1/26/2016
10,1/27/2016
24,1/28/2016
8,1/29/2016
15,1/30/2016
18,1/31/2016
10,2/1/2016
23,2/2/2016
17,2/3/2016
11,2/4/2016
26,2/5/2016
14,2/6/2016
8,2/7/2016
12,2/8/2016
9,2/9/2016
11,2/10/2016
34,2/11/2016
17,2/12/2016
29,2/13/2016
11,2/14/2016
9,2/15/2016
14,2/16/2016
21,2/17/2016
12,2/18/2016
11,2/19/2016
13,2/20/2016
11,2/21/2016
13,2/22/2016
16,2/23/2016
13,2/24/2016
19,2/25/2016
21,2/26/2016
14,2/27/2016
11,2/28/2016
35,2/29/2016
18,3/1/2016
42,3/2/2016
15,3/3/2016
5,3/4/2016
21,3/5/2016
56,3/6/2016
9,3/7/2016
20,3/8/2016
17,3/9/2016
18,3/10/2016
8,3/11/2016
9,3/12/2016
17,3/13/2016
